_id,Year,Province,Grade,Male,Female
526,2015.0,Sindh,11,403,458
527,2015.0,Sindh,10,3,0
528,2015.0,Sindh,9,347,1
529,2015.0,Sindh,8,2,673
530,2015.0,Sindh,7,703,108
531,2015.0,Sindh,6,41,0
532,2015.0,Sindh,5,1582,1037
533,2015.0,Sindh,4,181,0
534,2015.0,Sindh,3,13,0
535,2015.0,Sindh,2,1972,1199
536,2015.0,Sindh,1,1910,1
537,2015.0,KPK,21,13,1
538,2015.0,KPK,20,56,1
539,2015.0,KPK,19,108,7
540,2015.0,KPK,18,161,8
541,2015.0,KPK,17,661,34
542,2015.0,KPK,16,566,18
543,2015.0,KPK,14,335,6
544,2015.0,KPK,11,281,7
545,2015.0,Balochistan,22,1,
546,2015.0,Balochistan,21,9,
547,2015.0,Balochistan,20,44,
548,2015.0,Balochistan,19,146,2
549,2015.0,Balochistan,18,468,7
550,2015.0,Balochistan,17,1486,37
551,2015.0,Balochistan,16,1032,25
552,2015.0,Balochistan,15,252,
553,2015.0,Balochistan,14,1065,31
554,2015.0,Balochistan,13,32,
555,2015.0,Balochistan,12,262,13
556,2015.0,Balochistan,11,1824,67
557,2015.0,Balochistan,10,8,2
558,2015.0,Balochistan,9,625,29
559,2015.0,Balochistan,8,443,11
560,2015.0,Balochistan,7,360,5
561,2015.0,Balochistan,6,2306,14
562,2015.0,Balochistan,5,2115,11
563,2015.0,Balochistan,4,901,4
564,2015.0,Balochistan,3,273,3
565,2015.0,Balochistan,2,3040,26
566,2015.0,Balochistan,1,6843,97
567,2015.0,Gilgit-Baltistan,20,1,
568,2015.0,Gilgit-Baltistan,19,10,
569,2015.0,Gilgit-Baltistan,18,29,2
570,2015.0,Gilgit-Baltistan,17,56,4
571,2015.0,Gilgit-Baltistan,16,96,6
572,2015.0,Gilgit-Baltistan,15,31,
573,2015.0,Gilgit-Baltistan,14,8,
574,2015.0,Gilgit-Baltistan,13,47,10
575,2015.0,Gilgit-Baltistan,11,27,
576,2015.0,Gilgit-Baltistan,10,34,
577,2015.0,Gilgit-Baltistan,8,43,
578,2015.0,Gilgit-Baltistan,7,1,10
579,2015.0,Gilgit-Baltistan,6,147,
580,2015.0,Gilgit-Baltistan,5,1,
581,2015.0,Gilgit-Baltistan,4,86,3
582,2015.0,Gilgit-Baltistan,3,26,
583,2015.0,Gilgit-Baltistan,2,3,
584,2015.0,Gilgit-Baltistan,1,105,
585,2016.0,Punjab,22,1,0
586,2016.0,Punjab,21,5,0
587,2016.0,Punjab,20,40,5
588,2016.0,Punjab,19,437,55
589,2016.0,Punjab,18,1518,197
590,2016.0,Punjab,17,4846,2096
591,2016.0,Punjab,16,3272,1144
592,2016.0,Punjab,15,542,61
593,2016.0,Punjab,14,3727,271
594,2016.0,Punjab,13,36,6
595,2016.0,Punjab,12,355,53
596,2016.0,Punjab,11,5388,1208
597,2016.0,Punjab,10,79,104
598,2016.0,Punjab,9,6149,1191
599,2016.0,Punjab,8,228,182
600,2016.0,Punjab,7,937,44
601,2016.0,Punjab,6,1009,210
602,2016.0,Punjab,5,3869,1953
603,2016.0,Punjab,4,2351,71
604,2016.0,Punjab,3,677,56
605,2016.0,Punjab,2,4116,175
606,2016.0,Punjab,1,20351,2425
607,2016.0,Sindh,21,2,
608,2016.0,Sindh,20,9,0
609,2016.0,Sindh,19,62,39
610,2016.0,Sindh,18,208,95
611,2016.0,Sindh,17,438,132
612,2016.0,Sindh,16,346,93
613,2016.0,Sindh,15,13,0
614,2016.0,Sindh,14,408,116
615,2016.0,Sindh,13,6,0
616,2016.0,Sindh,12,86,1
617,2016.0,Sindh,11,493,461
618,2016.0,Sindh,10,4,0
619,2016.0,Sindh,9,519,2
620,2016.0,Sindh,8,2,673
621,2016.0,Sindh,7,251,100
622,2016.0,Sindh,6,20,0
623,2016.0,Sindh,5,1366,1037
624,2016.0,Sindh,4,195,0
625,2016.0,Sindh,3,12,0
626,2016.0,Sindh,2,1956,1199
627,2016.0,Sindh,1,1907,1
628,2016.0,KPK,21,10,0
629,2016.0,KPK,20,58,1
630,2016.0,KPK,19,101,7
631,2016.0,KPK,18,120,11
632,2016.0,KPK,17,678,43
633,2016.0,KPK,16,603,23
634,2016.0,KPK,14,341,6
635,2016.0,KPK,11,254,6
636,2016.0,Balochistan,22,1,
637,2016.0,Balochistan,21,10,
638,2016.0,Balochistan,20,45,
639,2016.0,Balochistan,19,153,6
640,2016.0,Balochistan,18,487,9
641,2016.0,Balochistan,17,1631,50
642,2016.0,Balochistan,16,1115,27
643,2016.0,Balochistan,15,236,
644,2016.0,Balochistan,14,826,30
645,2016.0,Balochistan,13,32,
646,2016.0,Balochistan,12,250,11
647,2016.0,Balochistan,11,1860,67
648,2016.0,Balochistan,10,21,2
649,2016.0,Balochistan,9,465,25
650,2016.0,Balochistan,8,427,8
651,2016.0,Balochistan,7,271,
652,2016.0,Balochistan,6,2336,14
653,2016.0,Balochistan,5,2152,13
654,2016.0,Balochistan,4,920,4
655,2016.0,Balochistan,3,293,3
656,2016.0,Balochistan,2,3247,25
657,2016.0,Balochistan,1,6947,98
658,2016.0,Gilgit-Baltistan,20,1,
659,2016.0,Gilgit-Baltistan,19,12,
660,2016.0,Gilgit-Baltistan,18,33,2
661,2016.0,Gilgit-Baltistan,17,54,4
662,2016.0,Gilgit-Baltistan,16,100,6
663,2016.0,Gilgit-Baltistan,15,44,
664,2016.0,Gilgit-Baltistan,14,7,
665,2016.0,Gilgit-Baltistan,13,69,10
666,2016.0,Gilgit-Baltistan,11,45,
667,2016.0,Gilgit-Baltistan,10,51,1
668,2016.0,Gilgit-Baltistan,8,52,2
669,2016.0,Gilgit-Baltistan,7,1,10
670,2016.0,Gilgit-Baltistan,6,128,
671,2016.0,Gilgit-Baltistan,5,1,
672,2016.0,Gilgit-Baltistan,4,103,3
673,2016.0,Gilgit-Baltistan,3,31,
674,2016.0,Gilgit-Baltistan,2,5,
675,2016.0,Gilgit-Baltistan,1,95,
676,2017.0,Punjab,22,1,0
677,2017.0,Punjab,21,6,0
678,2017.0,Punjab,20,48,4
679,2017.0,Punjab,19,441,65
680,2017.0,Punjab,18,1493,198
681,2017.0,Punjab,17,5037,2162
682,2017.0,Punjab,16,3143,1139
683,2017.0,Punjab,15,432,38
684,2017.0,Punjab,14,3747,287
685,2017.0,Punjab,13,40,13
686,2017.0,Punjab,12,314,74
687,2017.0,Punjab,11,5154,1002
688,2017.0,Punjab,10,73,120
689,2017.0,Punjab,9,7007,1086
690,2017.0,Punjab,8,231,209
691,2017.0,Punjab,7,481,46
692,2017.0,Punjab,6,884,194
693,2017.0,Punjab,5,3299,1651
694,2017.0,Punjab,4,2721,74
695,2017.0,Punjab,3,671,51
696,2017.0,Punjab,2,3832,170
697,2017.0,Punjab,1,18513,2169
698,2017.0,Sindh,21,2,
699,2017.0,Sindh,20,8,0
700,2017.0,Sindh,19,87,39
701,2017.0,Sindh,18,206,96
702,2017.0,Sindh,17,438,134
703,2017.0,Sindh,16,400,93
704,2017.0,Sindh,15,8,0
705,2017.0,Sindh,14,407,119
706,2017.0,Sindh,13,6,0
707,2017.0,Sindh,12,94,1
708,2017.0,Sindh,11,755,469
709,2017.0,Sindh,10,8,0
710,2017.0,Sindh,9,564,0
711,2017.0,Sindh,8,4,673
712,2017.0,Sindh,7,39,95
713,2017.0,Sindh,6,40,0
714,2017.0,Sindh,5,2415,1037
715,2017.0,Sindh,4,181,0
716,2017.0,Sindh,3,10,0
717,2017.0,Sindh,2,2038,1199
718,2017.0,Sindh,1,1929,4
719,2017.0,KPK,21,10,0
720,2017.0,KPK,20,58,1
721,2017.0,KPK,19,102,7
722,2017.0,KPK,18,120,11
723,2017.0,KPK,17,611,36
724,2017.0,KPK,16,647,27
725,2017.0,KPK,14,292,8
726,2017.0,KPK,11,219,6
727,2017.0,Balochistan,22,1,
728,2017.0,Balochistan,21,10,
729,2017.0,Balochistan,20,49,
730,2017.0,Balochistan,19,156,2
731,2017.0,Balochistan,18,526,10
732,2017.0,Balochistan,17,1650,54
733,2017.0,Balochistan,16,1148,27
734,2017.0,Balochistan,15,232,
735,2017.0,Balochistan,14,783,33
736,2017.0,Balochistan,13,32,
737,2017.0,Balochistan,12,260,11
738,2017.0,Balochistan,11,1973,76
739,2017.0,Balochistan,10,22,2
740,2017.0,Balochistan,9,323,25
741,2017.0,Balochistan,8,432,19
742,2017.0,Balochistan,7,290,
743,2017.0,Balochistan,6,2332,14
744,2017.0,Balochistan,5,2204,18
745,2017.0,Balochistan,4,971,4
746,2017.0,Balochistan,3,288,4
747,2017.0,Balochistan,2,3372,29
748,2017.0,Balochistan,1,7304,108
749,2017.0,Gilgit-Baltistan,20,1,
750,2017.0,Gilgit-Baltistan,19,14,
751,2017.0,Gilgit-Baltistan,18,34,2
752,2017.0,Gilgit-Baltistan,17,60,4
753,2017.0,Gilgit-Baltistan,16,109,6
754,2017.0,Gilgit-Baltistan,15,76,
755,2017.0,Gilgit-Baltistan,13,80,10
756,2017.0,Gilgit-Baltistan,11,36,
757,2017.0,Gilgit-Baltistan,10,88,1
758,2017.0,Gilgit-Baltistan,8,33,2
759,2017.0,Gilgit-Baltistan,7,1,10
760,2017.0,Gilgit-Baltistan,6,97,
761,2017.0,Gilgit-Baltistan,5,1,
762,2017.0,Gilgit-Baltistan,4,100,3
763,2017.0,Gilgit-Baltistan,3,33,
764,2017.0,Gilgit-Baltistan,2,10,
765,2017.0,Gilgit-Baltistan,1,104,
766,2018.0,Punjab,22,1,0
767,2018.0,Punjab,21,5,1
768,2018.0,Punjab,20,54,4
769,2018.0,Punjab,19,423,66
770,2018.0,Punjab,18,1396,494
771,2018.0,Punjab,17,4931,2192
772,2018.0,Punjab,16,3401,1388
773,2018.0,Punjab,15,468,46
774,2018.0,Punjab,14,3714,281
775,2018.0,Punjab,13,63,6
776,2018.0,Punjab,12,321,76
777,2018.0,Punjab,11,5429,1021
778,2018.0,Punjab,10,75,88
779,2018.0,Punjab,9,7346,1125
780,2018.0,Punjab,8,360,156
781,2018.0,Punjab,7,591,51
782,2018.0,Punjab,6,848,183
783,2018.0,Punjab,5,3090,1647
784,2018.0,Punjab,4,2812,75
785,2018.0,Punjab,3,653,44
786,2018.0,Punjab,2,3834,160
787,2018.0,Punjab,1,18653,2180
788,2018.0,Sindh,21,3,
789,2018.0,Sindh,20,10,0
790,2018.0,Sindh,19,66,37
791,2018.0,Sindh,18,207,97
792,2018.0,Sindh,17,617,167
793,2018.0,Sindh,16,533,93
794,2018.0,Sindh,15,5,0
795,2018.0,Sindh,14,450,118
796,2018.0,Sindh,13,3,0
797,2018.0,Sindh,12,101,1
798,2018.0,Sindh,11,1231,470
799,2018.0,Sindh,10,13,0
800,2018.0,Sindh,9,558,0
801,2018.0,Sindh,8,1,673
802,2018.0,Sindh,7,39,95
803,2018.0,Sindh,6,40,0
804,2018.0,Sindh,5,1369,1037
805,2018.0,Sindh,4,241,0
806,2018.0,Sindh,3,11,0
807,2018.0,Sindh,2,2082,1197
808,2018.0,Sindh,1,1935,7
809,2018.0,KPK,21,12,0
810,2018.0,KPK,20,53,2
811,2018.0,KPK,19,91,4
812,2018.0,KPK,18,239,7
813,2018.0,KPK,17,638,38
814,2018.0,KPK,16,686,30
815,2018.0,KPK,14,281,7
816,2018.0,KPK,11,214,6
817,2018.0,Balochistan,22,1,
818,2018.0,Balochistan,21,10,
819,2018.0,Balochistan,20,48,
820,2018.0,Balochistan,19,158,2
821,2018.0,Balochistan,18,546,14
822,2018.0,Balochistan,17,1660,51
823,2018.0,Balochistan,16,1202,27
824,2018.0,Balochistan,15,232,
825,2018.0,Balochistan,14,1292,35
826,2018.0,Balochistan,13,32,
827,2018.0,Balochistan,12,311,
828,2018.0,Balochistan,11,1913,81
829,2018.0,Balochistan,10,24,2
830,2018.0,Balochistan,9,390,29
831,2018.0,Balochistan,8,452,8
832,2018.0,Balochistan,7,244,
833,2018.0,Balochistan,6,2402,15
834,2018.0,Balochistan,5,2239,35
835,2018.0,Balochistan,4,961,4
836,2018.0,Balochistan,3,294,5
837,2018.0,Balochistan,2,3367,26
838,2018.0,Balochistan,1,7417,106
839,2018.0,Gilgit-Baltistan,20,1,
840,2018.0,Gilgit-Baltistan,19,14,
841,2018.0,Gilgit-Baltistan,18,31,1
842,2018.0,Gilgit-Baltistan,17,62,5
843,2018.0,Gilgit-Baltistan,16,108,6
844,2018.0,Gilgit-Baltistan,15,76,4
845,2018.0,Gilgit-Baltistan,13,92,10
846,2018.0,Gilgit-Baltistan,11,31,
847,2018.0,Gilgit-Baltistan,10,130,
848,2018.0,Gilgit-Baltistan,8,17,
849,2018.0,Gilgit-Baltistan,7,1,10
850,2018.0,Gilgit-Baltistan,6,61,
851,2018.0,Gilgit-Baltistan,5,1,
852,2018.0,Gilgit-Baltistan,4,70,
853,2018.0,Gilgit-Baltistan,3,33,
854,2018.0,Gilgit-Baltistan,2,11,
855,2018.0,Gilgit-Baltistan,1,118,
856,2008-09,Federal,22,100,6
857,2008-09,Federal,21,324,19
858,2008-09,Federal,20,820,90
859,2008-09,Federal,19,2159,389
860,2008-09,Federal,18,4284,869
861,2008-09,Federal,17,7768,2082
862,2008-09,Federal,16,11575,3710
863,2008-09,Federal,15,5006,243
864,2008-09,Federal,14,22205,3260
865,2008-09,Federal,13,3174,19
866,2008-09,Federal,12,6596,171
867,2008-09,Federal,11,9572,440
868,2008-09,Federal,10,2850,78
869,2008-09,Federal,9,21071,3034
870,2008-09,Federal,8,8955,113
871,2008-09,Federal,7,45519,1170
872,2008-09,Federal,6,32561,62
873,2008-09,Federal,5,138955,893
874,2008-09,Federal,4,11456,173
875,2008-09,Federal,3,14172,468
876,2008-09,Federal,2,43068,1094
877,2008-09,Federal,1,27820,617
878,2009-10,Federal,22,95,6
879,2009-10,Federal,21,373,33
880,2009-10,Federal,20,976,103
881,2009-10,Federal,19,2191,388
882,2009-10,Federal,18,5330,961
883,2009-10,Federal,17,8446,2334
884,2009-10,Federal,16,16966,3595
885,2009-10,Federal,15,5979,266
886,2009-10,Federal,14,17734,3444
887,2009-10,Federal,13,4091,21
888,2009-10,Federal,12,6578,203
889,2009-10,Federal,11,7054,497
890,2009-10,Federal,10,3493,122
891,2009-10,Federal,9,32892,4092
892,2009-10,Federal,8,7958,113
893,2009-10,Federal,7,44266,837
894,2009-10,Federal,6,25124,110
895,2009-10,Federal,5,142481,888
896,2009-10,Federal,4,12268,278
897,2009-10,Federal,3,17271,546
898,2009-10,Federal,2,43431,1154
899,2009-10,Federal,1,23834,1142
900,2010-11,Federal,22,94,6
901,2010-11,Federal,21,355,24
902,2010-11,Federal,20,869,92
903,2010-11,Federal,19,2174,397
904,2010-11,Federal,18,4371,899
905,2010-11,Federal,17,7482,2106
906,2010-11,Federal,16,12306,3797
907,2010-11,Federal,15,6019,274
908,2010-11,Federal,14,22371,3392
909,2010-11,Federal,13,2897,26
910,2010-11,Federal,12,7618,203
911,2010-11,Federal,11,7432,449
912,2010-11,Federal,10,3382,114
913,2010-11,Federal,9,32591,3746
914,2010-11,Federal,8,8529,146
915,2010-11,Federal,7,40804,834
916,2010-11,Federal,6,31008,240
917,2010-11,Federal,5,139534,848
918,2010-11,Federal,4,12469,209
919,2010-11,Federal,3,14484,582
920,2010-11,Federal,2,42661,1225
921,2010-11,Federal,1,27448,648
922,2011-12,Federal,22,94,5
923,2011-12,Federal,21,380,34
924,2011-12,Federal,20,863,90
925,2011-12,Federal,19,2278,404
926,2011-12,Federal,18,5312,907
927,2011-12,Federal,17,8114,1991
928,2011-12,Federal,16,17877,4945
929,2011-12,Federal,15,4866,239
930,2011-12,Federal,14,19658,2830
931,2011-12,Federal,13,3222,23
932,2011-12,Federal,12,6777,277
933,2011-12,Federal,11,7098,243
934,2011-12,Federal,10,2317,58
935,2011-12,Federal,9,33746,3217
936,2011-12,Federal,8,12271,57
937,2011-12,Federal,7,44907,936
938,2011-12,Federal,6,37228,90
939,2011-12,Federal,5,135943,1045
940,2011-12,Federal,4,7393,39
941,2011-12,Federal,3,14034,416
942,2011-12,Federal,2,42947,1268
943,2011-12,Federal,1,23842,880
944,2014-15,Federal,22,69,8
945,2014-15,Federal,21,344,50
946,2014-15,Federal,20,977,107
947,2014-15,Federal,19,2329,532
948,2014-15,Federal,18,6080,1330
949,2014-15,Federal,17,9232,3008
950,2014-15,Federal,16,23312,4807
951,2014-15,Federal,15,1231,75
952,2014-15,Federal,14,19622,3124
953,2014-15,Federal,13,2817,22
954,2014-15,Federal,12,3061,139
955,2014-15,Federal,11,8376,367
956,2014-15,Federal,10,2013,58
957,2014-15,Federal,9,34194,2323
958,2014-15,Federal,8,10774,72
959,2014-15,Federal,7,43673,1206
960,2014-15,Federal,6,39979,96
961,2014-15,Federal,5,119229,1087
962,2014-15,Federal,4,12810,197
963,2014-15,Federal,3,8505,525
964,2014-15,Federal,2,42502,1407
965,2014-15,Federal,1,26163,1089
966,2015-16,Federal,22,85,11
967,2015-16,Federal,21,409,48
968,2015-16,Federal,20,1014,111
969,2015-16,Federal,19,2313,501
970,2015-16,Federal,18,5568,1303
971,2015-16,Federal,17,9930,4040
972,2015-16,Federal,16,22435,5295
973,2015-16,Federal,15,1314,83
974,2015-16,Federal,14,19828,3005
975,2015-16,Federal,13,2808,26
976,2015-16,Federal,12,3172,133
977,2015-16,Federal,11,8578,385
978,2015-16,Federal,10,1802,54
979,2015-16,Federal,9,33934,2163
980,2015-16,Federal,8,12091,85
981,2015-16,Federal,7,46153,1272
982,2015-16,Federal,6,41376,85
983,2015-16,Federal,5,126566,1248
984,2015-16,Federal,4,11123,52
985,2015-16,Federal,3,13845,1141
986,2015-16,Federal,2,40724,1003
987,2015-16,Federal,1,26151,1254
988,2016-17,Federal,22,94,11
989,2016-17,Federal,21,372,40
990,2016-17,Federal,20,976,116
991,2016-17,Federal,19,2507,549
992,2016-17,Federal,18,6160,1357
993,2016-17,Federal,17,11560,4116
994,2016-17,Federal,16,28733,5548
995,2016-17,Federal,15,1954,117
996,2016-17,Federal,14,23120,3372
997,2016-17,Federal,13,3268,27
998,2016-17,Federal,12,4043,263
999,2016-17,Federal,11,16005,1460
1000,2016-17,Federal,10,4219,64
1001,2016-17,Federal,9,38379,2481
1002,2016-17,Federal,8,14089,199
1003,2016-17,Federal,7,53849,1935
1004,2016-17,Federal,6,59361,217
1005,2016-17,Federal,5,124198,1899
1006,2016-17,Federal,4,22728,431
1007,2016-17,Federal,3,11267,1060
1008,2016-17,Federal,2,53842,2351
1009,2016-17,Federal,1,58548,3668
1010,2017-18,Federal,22,84,12
1011,2017-18,Federal,21,350,39
1012,2017-18,Federal,20,1020,130
1013,2017-18,Federal,19,2499,527
1014,2017-18,Federal,18,6417,1362
1015,2017-18,Federal,17,12198,4299
1016,2017-18,Federal,16,31130,6396
1017,2017-18,Federal,15,3206,212
1018,2017-18,Federal,14,19489,3168
1019,2017-18,Federal,13,3077,25
1020,2017-18,Federal,12,4144,271
1021,2017-18,Federal,11,22558,1774
1022,2017-18,Federal,10,3762,52
1023,2017-18,Federal,9,39772,2600
1024,2017-18,Federal,8,14067,124
1025,2017-18,Federal,7,48728,1569
1026,2017-18,Federal,6,59535,226
1027,2017-18,Federal,5,123296,2069
1028,2017-18,Federal,4,22676,426
1029,2017-18,Federal,3,9408,583
1030,2017-18,Federal,2,53052,2387
1031,2017-18,Federal,1,68438,4083
